,name,date,expenses
75,Anne Bennett,2020-03-16,3458
76,Anne Bennett,2020-03-17,2920
77,Anne Bennett,2020-03-18,1908
78,Anne Bennett,2020-03-19,237
79,Anne Bennett,2020-03-20,1995
80,Anne Bennett,2020-03-21,2823
81,Anne Bennett,2020-03-22,3018
82,Anne Bennett,2020-03-23,2860
83,Anne Bennett,2020-03-24,2361
84,Anne Bennett,2020-03-25,2936
85,Anne Bennett,2020-03-26,1925
86,Anne Bennett,2020-03-27,2149
87,Anne Bennett,2020-03-28,3195
88,Anne Bennett,2020-03-29,3321
89,Anne Bennett,2020-03-30,1541
90,Anne Bennett,2020-03-31,3459
91,Anne Bennett,2020-04-01,1441
92,Anne Bennett,2020-04-02,2182
93,Anne Bennett,2020-04-03,2202
94,Anne Bennett,2020-04-04,2955
95,Anne Bennett,2020-04-05,2521
96,Anne Bennett,2020-04-06,1420
97,Anne Bennett,2020-04-07,1992
98,Anne Bennett,2020-04-08,3354
99,Anne Bennett,2020-04-09,2833
100,Anne Bennett,2020-04-10,1638
101,Anne Bennett,2020-04-11,507
102,Anne Bennett,2020-04-12,3011
103,Anne Bennett,2020-04-13,1767
104,Anne Bennett,2020-04-14,3161
105,Anne Bennett,2020-04-15,944
106,Anne Bennett,2020-04-16,547
107,Anne Bennett,2020-04-17,2949
108,Anne Bennett,2020-04-18,1291
109,Anne Bennett,2020-04-19,1102
110,Anne Bennett,2020-04-20,2690
111,Anne Bennett,2020-04-21,316
112,Anne Bennett,2020-04-22,665
113,Anne Bennett,2020-04-23,1985
114,Anne Bennett,2020-04-24,1744
115,Anne Bennett,2020-04-25,2465
116,Anne Bennett,2020-04-26,611
117,Anne Bennett,2020-04-27,3317
118,Anne Bennett,2020-04-28,2853
119,Anne Bennett,2020-04-29,2217
120,Anne Bennett,2020-04-30,946
121,Anne Bennett,2020-05-01,1459
122,Anne Bennett,2020-05-02,2811
123,Anne Bennett,2020-05-03,2886
124,Anne Bennett,2020-05-04,1632
125,Anne Bennett,2020-05-05,2351
126,Anne Bennett,2020-05-06,2594
127,Anne Bennett,2020-05-07,2314
128,Anne Bennett,2020-05-08,221
129,Anne Bennett,2020-05-09,3210
130,Anne Bennett,2020-05-10,2360
131,Anne Bennett,2020-05-11,495
132,Anne Bennett,2020-05-12,1667
133,Anne Bennett,2020-05-13,2330
134,Anne Bennett,2020-05-14,2502
135,Anne Bennett,2020-05-15,1200
136,Anne Bennett,2020-05-16,2667
137,Anne Bennett,2020-05-17,589
138,Anne Bennett,2020-05-18,1108
139,Anne Bennett,2020-05-19,1934
140,Anne Bennett,2020-05-20,1593
141,Anne Bennett,2020-05-21,2627
142,Anne Bennett,2020-05-22,533
143,Anne Bennett,2020-05-23,610
144,Anne Bennett,2020-05-24,1472
145,Anne Bennett,2020-05-25,2557
146,Anne Bennett,2020-05-26,623
147,Anne Bennett,2020-05-27,2818
148,Anne Bennett,2020-05-28,3367
149,Anne Bennett,2020-05-29,1976
150,Anne Bennett,2020-05-30,2242
151,Anne Bennett,2020-05-31,2755
152,Anne Bennett,2020-06-01,347
153,Anne Bennett,2020-06-02,2657
154,Anne Bennett,2020-06-03,3103
155,Anne Bennett,2020-06-04,2397
156,Anne Bennett,2020-06-05,2684
157,Anne Bennett,2020-06-06,1706
158,Anne Bennett,2020-06-07,1796
159,Anne Bennett,2020-06-08,1287
160,Anne Bennett,2020-06-09,767
161,Anne Bennett,2020-06-10,451
162,Anne Bennett,2020-06-11,718
163,Anne Bennett,2020-06-12,822
164,Anne Bennett,2020-06-13,3237
165,Anne Bennett,2020-06-14,1101
166,Anne Bennett,2020-06-15,1095
167,William Jackson,2020-01-01,995
168,William Jackson,2020-01-02,2162
169,William Jackson,2020-01-03,2131
170,William Jackson,2020-01-04,2676
171,William Jackson,2020-01-05,1290
172,William Jackson,2020-01-06,2549
173,William Jackson,2020-01-07,1829
174,William Jackson,2020-01-08,1756
175,William Jackson,2020-01-09,706
176,William Jackson,2020-01-10,1922
177,William Jackson,2020-01-11,1944
178,William Jackson,2020-01-12,3011
179,William Jackson,2020-01-13,409
180,William Jackson,2020-01-14,2163
181,William Jackson,2020-01-15,3005
182,William Jackson,2020-01-16,728
183,William Jackson,2020-01-17,1779
184,William Jackson,2020-01-18,267
185,William Jackson,2020-01-19,3384
186,William Jackson,2020-01-20,1185
187,William Jackson,2020-01-21,1340
188,William Jackson,2020-01-22,3070
189,William Jackson,2020-01-23,1613
190,William Jackson,2020-01-24,3422
191,William Jackson,2020-01-25,439
192,William Jackson,2020-01-26,1829
193,William Jackson,2020-01-27,332
194,William Jackson,2020-01-28,418
195,William Jackson,2020-01-29,2901
196,William Jackson,2020-01-30,2470
197,William Jackson,2020-01-31,1289
198,William Jackson,2020-02-01,1868
199,William Jackson,2020-02-02,1658
200,William Jackson,2020-02-03,569
201,William Jackson,2020-02-04,2713
202,William Jackson,2020-02-05,1730
203,William Jackson,2020-02-06,1370
204,William Jackson,2020-02-07,1944
205,William Jackson,2020-02-08,1620
206,William Jackson,2020-02-09,1237
207,William Jackson,2020-02-10,1310
208,William Jackson,2020-02-11,2062
209,William Jackson,2020-02-12,686
210,William Jackson,2020-02-13,3153
211,William Jackson,2020-02-14,1996
212,William Jackson,2020-02-15,381
213,William Jackson,2020-02-16,440
214,William Jackson,2020-02-17,657
215,William Jackson,2020-02-18,995
216,William Jackson,2020-02-19,1803
217,William Jackson,2020-02-20,1206
218,William Jackson,2020-02-21,1913
219,William Jackson,2020-02-22,3009
220,William Jackson,2020-02-23,2497
221,William Jackson,2020-02-24,2616
222,William Jackson,2020-02-25,2211
223,William Jackson,2020-02-26,1756
224,William Jackson,2020-02-27,2245
225,William Jackson,2020-02-28,1856
226,William Jackson,2020-02-29,1165
227,William Jackson,2020-03-01,650
228,William Jackson,2020-03-02,3275
229,William Jackson,2020-03-03,2765
230,William Jackson,2020-03-04,2872
231,William Jackson,2020-03-05,899
232,William Jackson,2020-03-06,813
233,William Jackson,2020-03-07,2757
234,William Jackson,2020-03-08,3498
235,William Jackson,2020-03-09,1139
236,William Jackson,2020-03-10,392
237,William Jackson,2020-03-11,1900
238,William Jackson,2020-03-12,3388
239,William Jackson,2020-03-13,1691
240,William Jackson,2020-03-14,1446
241,William Jackson,2020-03-15,2219
242,William Jackson,2020-03-16,3275
243,William Jackson,2020-03-17,1673
244,William Jackson,2020-03-18,326
245,William Jackson,2020-03-19,640
246,William Jackson,2020-03-20,2190
247,William Jackson,2020-03-21,3056
248,William Jackson,2020-03-22,2843
249,William Jackson,2020-03-23,3151
250,William Jackson,2020-03-24,1856
251,William Jackson,2020-03-25,1803
252,William Jackson,2020-03-26,2086
253,William Jackson,2020-03-27,3035
254,William Jackson,2020-03-28,3477
255,William Jackson,2020-03-29,2368
256,William Jackson,2020-03-30,3471
257,William Jackson,2020-03-31,1648
258,William Jackson,2020-04-01,2649
259,William Jackson,2020-04-02,3313
260,William Jackson,2020-04-03,2500
261,William Jackson,2020-04-04,1949
262,William Jackson,2020-04-05,1638
263,William Jackson,2020-04-06,1328
264,William Jackson,2020-04-07,2408
265,William Jackson,2020-04-08,1719
266,William Jackson,2020-04-09,3247
267,William Jackson,2020-04-10,601
268,William Jackson,2020-04-11,1787
269,William Jackson,2020-04-12,924
270,William Jackson,2020-04-13,2565
271,William Jackson,2020-04-14,2056
272,William Jackson,2020-04-15,497
273,William Jackson,2020-04-16,1147
274,William Jackson,2020-04-17,258
275,William Jackson,2020-04-18,244
276,William Jackson,2020-04-19,3160
277,William Jackson,2020-04-20,1705
278,William Jackson,2020-04-21,603
279,William Jackson,2020-04-22,2997
280,William Jackson,2020-04-23,343
281,William Jackson,2020-04-24,823
282,William Jackson,2020-04-25,2305
283,William Jackson,2020-04-26,1220
284,William Jackson,2020-04-27,993
285,William Jackson,2020-04-28,2347
286,William Jackson,2020-04-29,1807
287,William Jackson,2020-04-30,2069
288,William Jackson,2020-05-01,1287
289,William Jackson,2020-05-02,2269
290,William Jackson,2020-05-03,3049
291,William Jackson,2020-05-04,1206
292,William Jackson,2020-05-05,2539
293,William Jackson,2020-05-06,2226
294,William Jackson,2020-05-07,1624
295,William Jackson,2020-05-08,682
296,William Jackson,2020-05-09,757
297,William Jackson,2020-05-10,3344
298,William Jackson,2020-05-11,1009
299,William Jackson,2020-05-12,2583
300,William Jackson,2020-05-13,1361
301,William Jackson,2020-05-14,1234
302,William Jackson,2020-05-15,1522
303,William Jackson,2020-05-16,1960
304,William Jackson,2020-05-17,3138
305,William Jackson,2020-05-18,1840
306,William Jackson,2020-05-19,1322
307,William Jackson,2020-05-20,941
308,William Jackson,2020-05-21,306
309,William Jackson,2020-05-22,3297
310,William Jackson,2020-05-23,575
311,William Jackson,2020-05-24,3212
312,William Jackson,2020-05-25,1756
313,William Jackson,2020-05-26,3203
314,William Jackson,2020-05-27,216
315,William Jackson,2020-05-28,2437
316,William Jackson,2020-05-29,2230
317,William Jackson,2020-05-30,2928
318,William Jackson,2020-05-31,2958
319,William Jackson,2020-06-01,1007
320,William Jackson,2020-06-02,697
321,William Jackson,2020-06-03,866
322,William Jackson,2020-06-04,331
323,William Jackson,2020-06-05,2304
324,William Jackson,2020-06-06,963
325,William Jackson,2020-06-07,2415
326,William Jackson,2020-06-08,2683
327,William Jackson,2020-06-09,437
328,William Jackson,2020-06-10,2062
329,William Jackson,2020-06-11,592
330,William Jackson,2020-06-12,1990
331,William Jackson,2020-06-13,2193
332,William Jackson,2020-06-14,1621
333,William Jackson,2020-06-15,1170
334,Mary Edwards,2020-01-01,1857
335,Mary Edwards,2020-01-02,1208
336,Mary Edwards,2020-01-03,547
337,Mary Edwards,2020-01-04,2500
338,Mary Edwards,2020-01-05,1159
339,Mary Edwards,2020-01-06,3118
340,Mary Edwards,2020-01-07,2815
341,Mary Edwards,2020-01-08,2268
342,Mary Edwards,2020-01-09,1079
343,Mary Edwards,2020-01-10,1683
344,Mary Edwards,2020-01-11,952
345,Mary Edwards,2020-01-12,698
346,Mary Edwards,2020-01-13,1083
347,Mary Edwards,2020-01-14,1089
348,Mary Edwards,2020-01-15,979
349,Mary Edwards,2020-01-16,328
350,Mary Edwards,2020-01-17,349
351,Mary Edwards,2020-01-18,2494
352,Mary Edwards,2020-01-19,920
353,Mary Edwards,2020-01-20,573
354,Mary Edwards,2020-01-21,2498
355,Mary Edwards,2020-01-22,2649
356,Mary Edwards,2020-01-23,2947
357,Mary Edwards,2020-01-24,364
358,Mary Edwards,2020-01-25,1971
359,Mary Edwards,2020-01-26,3283
360,Mary Edwards,2020-01-27,2623
361,Mary Edwards,2020-01-28,890
362,Mary Edwards,2020-01-29,2903
363,Mary Edwards,2020-01-30,3476
364,Mary Edwards,2020-01-31,756
365,Mary Edwards,2020-02-01,1321
366,Mary Edwards,2020-02-02,840
367,Mary Edwards,2020-02-03,2866
368,Mary Edwards,2020-02-04,1653
369,Mary Edwards,2020-02-05,2539
370,Mary Edwards,2020-02-06,1537
371,Mary Edwards,2020-02-07,771
372,Mary Edwards,2020-02-08,3083
373,Mary Edwards,2020-02-09,1533
374,Mary Edwards,2020-02-10,230
375,Mary Edwards,2020-02-11,1016
376,Mary Edwards,2020-02-12,1270
377,Mary Edwards,2020-02-13,2588
378,Mary Edwards,2020-02-14,2574
379,Mary Edwards,2020-02-15,3386
380,Mary Edwards,2020-02-16,275
381,Mary Edwards,2020-02-17,2194
382,Mary Edwards,2020-02-18,1396
383,Mary Edwards,2020-02-19,1300
384,Mary Edwards,2020-02-20,1001
385,Mary Edwards,2020-02-21,418
386,Mary Edwards,2020-02-22,618
387,Mary Edwards,2020-02-23,3493
388,Mary Edwards,2020-02-24,1793
389,Mary Edwards,2020-02-25,839
390,Mary Edwards,2020-02-26,621
391,Mary Edwards,2020-02-27,1260
392,Mary Edwards,2020-02-28,1598
393,Mary Edwards,2020-02-29,565
394,Mary Edwards,2020-03-01,1254
395,Mary Edwards,2020-03-02,2859
396,Mary Edwards,2020-03-03,403
397,Mary Edwards,2020-03-04,2781
398,Mary Edwards,2020-03-05,1780
399,Mary Edwards,2020-03-06,2730
400,Mary Edwards,2020-03-07,3423
401,Mary Edwards,2020-03-08,3343
402,Mary Edwards,2020-03-09,1263
403,Mary Edwards,2020-03-10,2766
404,Mary Edwards,2020-03-11,2539
405,Mary Edwards,2020-03-12,706
406,Mary Edwards,2020-03-13,477
407,Mary Edwards,2020-03-14,2788
408,Mary Edwards,2020-03-15,1689
409,Mary Edwards,2020-03-16,2909
410,Mary Edwards,2020-03-17,2944
411,Mary Edwards,2020-03-18,346
412,Mary Edwards,2020-03-19,339
413,Mary Edwards,2020-03-20,2404
414,Mary Edwards,2020-03-21,3273
415,Mary Edwards,2020-03-22,918
416,Mary Edwards,2020-03-23,3474
417,Mary Edwards,2020-03-24,1515
418,Mary Edwards,2020-03-25,334
419,Mary Edwards,2020-03-26,848
420,Mary Edwards,2020-03-27,3209
421,Mary Edwards,2020-03-28,2237
422,Mary Edwards,2020-03-29,630
423,Mary Edwards,2020-03-30,1179
424,Mary Edwards,2020-03-31,2462
425,Mary Edwards,2020-04-01,606
426,Mary Edwards,2020-04-02,1346
427,Mary Edwards,2020-04-03,2078
428,Mary Edwards,2020-04-04,3032
429,Mary Edwards,2020-04-05,473
430,Mary Edwards,2020-04-06,1024
431,Mary Edwards,2020-04-07,1430
432,Mary Edwards,2020-04-08,1782
433,Mary Edwards,2020-04-09,873
434,Mary Edwards,2020-04-10,2122
435,Mary Edwards,2020-04-11,3433
436,Mary Edwards,2020-04-12,913
437,Mary Edwards,2020-04-13,740
438,Mary Edwards,2020-04-14,744
439,Mary Edwards,2020-04-15,2753
440,Mary Edwards,2020-04-16,3305
441,Mary Edwards,2020-04-17,201
442,Mary Edwards,2020-04-18,2908
443,Mary Edwards,2020-04-19,307
444,Mary Edwards,2020-04-20,3356
445,Mary Edwards,2020-04-21,2531
446,Mary Edwards,2020-04-22,1305
447,Mary Edwards,2020-04-23,915
448,Mary Edwards,2020-04-24,386
449,Mary Edwards,2020-04-25,1123
450,Mary Edwards,2020-04-26,531
451,Mary Edwards,2020-04-27,3231
452,Mary Edwards,2020-04-28,2878
453,Mary Edwards,2020-04-29,359
454,Mary Edwards,2020-04-30,2163
455,Mary Edwards,2020-05-01,265
456,Mary Edwards,2020-05-02,1750
457,Mary Edwards,2020-05-03,685
458,Mary Edwards,2020-05-04,3090
459,Mary Edwards,2020-05-05,3251
460,Mary Edwards,2020-05-06,1792
461,Mary Edwards,2020-05-07,3193
462,Mary Edwards,2020-05-08,1995
463,Mary Edwards,2020-05-09,664
464,Mary Edwards,2020-05-10,690
465,Mary Edwards,2020-05-11,869
466,Mary Edwards,2020-05-12,1596
467,Mary Edwards,2020-05-13,2853
468,Mary Edwards,2020-05-14,316
469,Mary Edwards,2020-05-15,1851
470,Mary Edwards,2020-05-16,901
471,Mary Edwards,2020-05-17,2776
472,Mary Edwards,2020-05-18,1279
473,Mary Edwards,2020-05-19,1809
474,Mary Edwards,2020-05-20,2278
475,Mary Edwards,2020-05-21,3300
476,Mary Edwards,2020-05-22,3400
477,Mary Edwards,2020-05-23,1543
478,Mary Edwards,2020-05-24,995
479,Mary Edwards,2020-05-25,1026
480,Mary Edwards,2020-05-26,2731
481,Mary Edwards,2020-05-27,1172
482,Mary Edwards,2020-05-28,3168
483,Mary Edwards,2020-05-29,3403
484,Mary Edwards,2020-05-30,3275
485,Mary Edwards,2020-05-31,2796
486,Mary Edwards,2020-06-01,1398
487,Mary Edwards,2020-06-02,702
488,Mary Edwards,2020-06-03,1996
489,Mary Edwards,2020-06-04,2497
490,Mary Edwards,2020-06-05,1691
491,Mary Edwards,2020-06-06,1541
492,Mary Edwards,2020-06-07,2230
493,Mary Edwards,2020-06-08,2039
494,Mary Edwards,2020-06-09,2691
495,Mary Edwards,2020-06-10,949
496,Mary Edwards,2020-06-11,869
497,Mary Edwards,2020-06-12,1317
498,Mary Edwards,2020-06-13,1680
499,Mary Edwards,2020-06-14,1751
500,Mary Edwards,2020-06-15,923
501,William Liesmann,2020-01-01,2997
502,William Liesmann,2020-01-02,1024
503,William Liesmann,2020-01-03,1370
504,William Liesmann,2020-01-04,1881
505,William Liesmann,2020-01-05,1227
506,William Liesmann,2020-01-06,855
507,William Liesmann,2020-01-07,2054
508,William Liesmann,2020-01-08,2428
509,William Liesmann,2020-01-09,837
510,William Liesmann,2020-01-10,2227
511,William Liesmann,2020-01-11,3458
512,William Liesmann,2020-01-12,2815
513,William Liesmann,2020-01-13,2286
514,William Liesmann,2020-01-14,3110
515,William Liesmann,2020-01-15,2539
516,William Liesmann,2020-01-16,1797
517,William Liesmann,2020-01-17,531
518,William Liesmann,2020-01-18,2934
519,William Liesmann,2020-01-19,3039
520,William Liesmann,2020-01-20,1015
521,William Liesmann,2020-01-21,3089
522,William Liesmann,2020-01-22,1950
523,William Liesmann,2020-01-23,2133
524,William Liesmann,2020-01-24,315
525,William Liesmann,2020-01-25,1839
526,William Liesmann,2020-01-26,2401
527,William Liesmann,2020-01-27,962
528,William Liesmann,2020-01-28,1050
529,William Liesmann,2020-01-29,2660
530,William Liesmann,2020-01-30,1938
531,William Liesmann,2020-01-31,1447
532,William Liesmann,2020-02-01,2864
533,William Liesmann,2020-02-02,2653
534,William Liesmann,2020-02-03,554
535,William Liesmann,2020-02-04,2393
536,William Liesmann,2020-02-05,1479
537,William Liesmann,2020-02-06,660
538,William Liesmann,2020-02-07,2907
539,William Liesmann,2020-02-08,1769
540,William Liesmann,2020-02-09,2085
541,William Liesmann,2020-02-10,1780
542,William Liesmann,2020-02-11,259
543,William Liesmann,2020-02-12,884
544,William Liesmann,2020-02-13,3129
545,William Liesmann,2020-02-14,3108
546,William Liesmann,2020-02-15,1235
547,William Liesmann,2020-02-16,3157
548,William Liesmann,2020-02-17,2744
549,William Liesmann,2020-02-18,204
550,William Liesmann,2020-02-19,1732
551,William Liesmann,2020-02-20,1146
552,William Liesmann,2020-02-21,2131
553,William Liesmann,2020-02-22,749
554,William Liesmann,2020-02-23,3404
555,William Liesmann,2020-02-24,1051
556,William Liesmann,2020-02-25,1784
557,William Liesmann,2020-02-26,689
558,William Liesmann,2020-02-27,3163
559,William Liesmann,2020-02-28,458
560,William Liesmann,2020-02-29,2426
561,William Liesmann,2020-03-01,2277
562,William Liesmann,2020-03-02,2171
563,William Liesmann,2020-03-03,599
564,William Liesmann,2020-03-04,1892
565,William Liesmann,2020-03-05,2660
566,William Liesmann,2020-03-06,805
567,William Liesmann,2020-03-07,1710
568,William Liesmann,2020-03-08,487
569,William Liesmann,2020-03-09,1584
570,William Liesmann,2020-03-10,1306
571,William Liesmann,2020-03-11,1877
572,William Liesmann,2020-03-12,490
573,William Liesmann,2020-03-13,2199
574,William Liesmann,2020-03-14,1038
575,William Liesmann,2020-03-15,545
576,William Liesmann,2020-03-16,3314
577,William Liesmann,2020-03-17,1652
578,William Liesmann,2020-03-18,784
579,William Liesmann,2020-03-19,3220
580,William Liesmann,2020-03-20,3144
581,William Liesmann,2020-03-21,1803
582,William Liesmann,2020-03-22,2249
583,William Liesmann,2020-03-23,3119
584,William Liesmann,2020-03-24,3131
585,William Liesmann,2020-03-25,3278
586,William Liesmann,2020-03-26,1053
587,William Liesmann,2020-03-27,3325
588,William Liesmann,2020-03-28,1859
589,William Liesmann,2020-03-29,2283
590,William Liesmann,2020-03-30,827
591,William Liesmann,2020-03-31,206
592,William Liesmann,2020-04-01,1169
593,William Liesmann,2020-04-02,630
594,William Liesmann,2020-04-03,299
595,William Liesmann,2020-04-04,698
596,William Liesmann,2020-04-05,2043
597,William Liesmann,2020-04-06,934
598,William Liesmann,2020-04-07,253
599,William Liesmann,2020-04-08,1352
600,William Liesmann,2020-04-09,1773
601,William Liesmann,2020-04-10,1600
602,William Liesmann,2020-04-11,2389
603,William Liesmann,2020-04-12,2365
604,William Liesmann,2020-04-13,1534
605,William Liesmann,2020-04-14,1091
606,William Liesmann,2020-04-15,684
607,William Liesmann,2020-04-16,2159
608,William Liesmann,2020-04-17,3211
609,William Liesmann,2020-04-18,638
610,William Liesmann,2020-04-19,993
611,William Liesmann,2020-04-20,918
612,William Liesmann,2020-04-21,3193
613,William Liesmann,2020-04-22,2098
614,William Liesmann,2020-04-23,3275
615,William Liesmann,2020-04-24,2553
616,William Liesmann,2020-04-25,1775
617,William Liesmann,2020-04-26,3090
618,William Liesmann,2020-04-27,480
619,William Liesmann,2020-04-28,543
620,William Liesmann,2020-04-29,752
621,William Liesmann,2020-04-30,3477
622,William Liesmann,2020-05-01,1837
623,William Liesmann,2020-05-02,1630
624,William Liesmann,2020-05-03,1832
625,William Liesmann,2020-05-04,3474
626,William Liesmann,2020-05-05,2427
627,William Liesmann,2020-05-06,2253
628,William Liesmann,2020-05-07,1241
629,William Liesmann,2020-05-08,1578
630,William Liesmann,2020-05-09,834
631,William Liesmann,2020-05-10,987
632,William Liesmann,2020-05-11,3315
633,William Liesmann,2020-05-12,1157
634,William Liesmann,2020-05-13,2762
635,William Liesmann,2020-05-14,488
636,William Liesmann,2020-05-15,2602
637,William Liesmann,2020-05-16,1330
638,William Liesmann,2020-05-17,2803
639,William Liesmann,2020-05-18,1281
640,William Liesmann,2020-05-19,3275
641,William Liesmann,2020-05-20,897
642,William Liesmann,2020-05-21,3244
643,William Liesmann,2020-05-22,1021
644,William Liesmann,2020-05-23,1275
645,William Liesmann,2020-05-24,1032
646,William Liesmann,2020-05-25,2350
647,William Liesmann,2020-05-26,273
648,William Liesmann,2020-05-27,2917
649,William Liesmann,2020-05-28,1794
650,William Liesmann,2020-05-29,1887
651,William Liesmann,2020-05-30,888
652,William Liesmann,2020-05-31,2143
653,William Liesmann,2020-06-01,1513
654,William Liesmann,2020-06-02,2229
655,William Liesmann,2020-06-03,2082
656,William Liesmann,2020-06-04,3049
657,William Liesmann,2020-06-05,2906
658,William Liesmann,2020-06-06,2951
659,William Liesmann,2020-06-07,2390
660,William Liesmann,2020-06-08,2939
661,William Liesmann,2020-06-09,231
662,William Liesmann,2020-06-10,2780
663,William Liesmann,2020-06-11,3376
664,William Liesmann,2020-06-12,2857
665,William Liesmann,2020-06-13,479
666,William Liesmann,2020-06-14,941
667,William Liesmann,2020-06-15,1831
668,Alvin Goff,2020-01-01,3238
669,Alvin Goff,2020-01-02,1591
670,Alvin Goff,2020-01-03,2228
671,Alvin Goff,2020-01-04,1073
672,Alvin Goff,2020-01-05,783
673,Alvin Goff,2020-01-06,1383
674,Alvin Goff,2020-01-07,1303
675,Alvin Goff,2020-01-08,2790
676,Alvin Goff,2020-01-09,1162
677,Alvin Goff,2020-01-10,2411
678,Alvin Goff,2020-01-11,1328
679,Alvin Goff,2020-01-12,2351
680,Alvin Goff,2020-01-13,1155
681,Alvin Goff,2020-01-14,362
682,Alvin Goff,2020-01-15,707
683,Alvin Goff,2020-01-16,1268
684,Alvin Goff,2020-01-17,921
685,Alvin Goff,2020-01-18,948
686,Alvin Goff,2020-01-19,531
687,Alvin Goff,2020-01-20,514
688,Alvin Goff,2020-01-21,1256
689,Alvin Goff,2020-01-22,562
690,Alvin Goff,2020-01-23,2804
691,Alvin Goff,2020-01-24,2557
692,Alvin Goff,2020-01-25,1641
693,Alvin Goff,2020-01-26,1970
694,Alvin Goff,2020-01-27,3068
695,Alvin Goff,2020-01-28,1301
696,Alvin Goff,2020-01-29,2773
697,Alvin Goff,2020-01-30,3112
698,Alvin Goff,2020-01-31,3010
699,Alvin Goff,2020-02-01,750
700,Alvin Goff,2020-02-02,2132
701,Alvin Goff,2020-02-03,1517
702,Alvin Goff,2020-02-04,2033
703,Alvin Goff,2020-02-05,3155
704,Alvin Goff,2020-02-06,624
705,Alvin Goff,2020-02-07,1648
706,Alvin Goff,2020-02-08,2278
707,Alvin Goff,2020-02-09,2028
708,Alvin Goff,2020-02-10,598
709,Alvin Goff,2020-02-11,3146
710,Alvin Goff,2020-02-12,1812
711,Alvin Goff,2020-02-13,3349
712,Alvin Goff,2020-02-14,1886
713,Alvin Goff,2020-02-15,2382
714,Alvin Goff,2020-02-16,1831
715,Alvin Goff,2020-02-17,1761
716,Alvin Goff,2020-02-18,1040
717,Alvin Goff,2020-02-19,1208
718,Alvin Goff,2020-02-20,2566
719,Alvin Goff,2020-02-21,1983
720,Alvin Goff,2020-02-22,1108
721,Alvin Goff,2020-02-23,2840
722,Alvin Goff,2020-02-24,3381
723,Alvin Goff,2020-02-25,548
724,Alvin Goff,2020-02-26,2055
725,Alvin Goff,2020-02-27,1825
726,Alvin Goff,2020-02-28,1031
727,Alvin Goff,2020-02-29,2952
728,Alvin Goff,2020-03-01,3401
729,Alvin Goff,2020-03-02,1604
730,Alvin Goff,2020-03-03,3220
731,Alvin Goff,2020-03-04,569
732,Alvin Goff,2020-03-05,3156
